Date;Hour;P;Test
16/01/2015;22;198;5,85
16/01/2015;23;219;5,45
17/01/2015;0;217,9;5,525
17/01/2015;1;216,8;5,8
17/01/2015;2;216,8;5,725
17/01/2015;3;218,1;5,85
17/01/2015;4;207,2;5,85
17/01/2015;5;182,6;6,1
17/01/2015;6;224;6,125
17/01/2015;7;247,2;6,1
17/01/2015;8;285,8;5,95
17/01/2015;9;300,1;5,85
17/01/2015;10;300;6,075
17/01/2015;11;300,7;7,025
17/01/2015;12;296,3;8,225
17/01/2015;13;258;7,825
17/01/2015;14;194,7;7,925
17/01/2015;15;169,8;8,9
17/01/2015;16;161,8;9,2
17/01/2015;17;170,7;9
17/01/2015;18;216;7,85
17/01/2015;19;212,5;7,625
17/01/2015;20;199,6;7,175
17/01/2015;21;203,8;6,425
17/01/2015;22;207,2;6,025
17/01/2015;23;206,4;5,675
18/01/2015;0;210;5,7
18/01/2015;1;208,5;5,15
18/01/2015;2;206,4;5,15
18/01/2015;3;201,2;4,725
18/01/2015;4;204,9;4,575
18/01/2015;5;209,9;4,425
18/01/2015;6;210,3;3,825
18/01/2015;7;211;3,5
18/01/2015;8;196,5;3,575
18/01/2015;9;197,3;3,975
18/01/2015;10;200,7;5,7
18/01/2015;11;201;6,5
18/01/2015;12;190,6;7,65
18/01/2015;13;184,3;8,575
18/01/2015;14;189,7;9,425
18/01/2015;15;179,9;9,75
18/01/2015;16;187,8;8,9
18/01/2015;17;206,2;8
18/01/2015;18;213,4;7,275
18/01/2015;19;203,9;6,95
18/01/2015;20;207,3;6,8
18/01/2015;21;210,9;6,325
18/01/2015;22;209,3;5,8
18/01/2015;23;207,1;5,45
19/01/2015;0;209,1;4,825
19/01/2015;1;207,1;4,425
19/01/2015;2;205,2;4,15
19/01/2015;3;187,8;3,875
19/01/2015;4;161,4;3,65
19/01/2015;5;200,5;2,9
19/01/2015;6;299,5;3,025
19/01/2015;7;352,9;3,475
19/01/2015;8;483,2;3,7
19/01/2015;9;597,7;3,525
19/01/2015;10;593,3;4
19/01/2015;11;595,4;4,45
19/01/2015;12;626,1;5,625
19/01/2015;13;643,8;6,625
19/01/2015;14;616,2;7,125
19/01/2015;15;565,6;8,275
19/01/2015;16;504,7;8,05
19/01/2015;17;502,6;7,175
19/01/2015;18;463,4;6,9
19/01/2015;19;334,9;6,675
19/01/2015;20;233,6;6,45
19/01/2015;21;188,8;6
19/01/2015;22;177,1;6,25
19/01/2015;23;196,9;5,7
20/01/2015;0;210,8;5,35
20/01/2015;1;207,1;5,5
20/01/2015;2;200;5,75
20/01/2015;3;208,3;5,4
20/01/2015;4;199,4;5,325
20/01/2015;5;179;4,75
20/01/2015;6;307;4,825
20/01/2015;7;355,8;4,8
20/01/2015;8;487,4;4,95
20/01/2015;9;577,4;5,4
20/01/2015;10;584,6;5,325
20/01/2015;11;578,4;5,5
20/01/2015;12;634,4;6,15
20/01/2015;13;651,4;6,85
20/01/2015;14;632,4;7,325
20/01/2015;15;588,3;7,4
20/01/2015;16;517,4;7,475
20/01/2015;17;510,1;6,65
20/01/2015;18;465,7;5,8
20/01/2015;19;328,2;5,7
20/01/2015;20;231;5,6
20/01/2015;21;193,2;5,675
20/01/2015;22;179,7;5,275
20/01/2015;23;173,6;4,525
21/01/2015;0;217,2;3,725
21/01/2015;1;217,1;3,05
21/01/2015;2;215,1;3,25
21/01/2015;3;214,9;3,05
21/01/2015;4;176,6;3
21/01/2015;5;192,2;3,025
21/01/2015;6;293,8;2,95
21/01/2015;7;356,2;3,35
21/01/2015;8;481,3;3,6
21/01/2015;9;588;3,9
21/01/2015;10;611,4;3,875
21/01/2015;11;617,7;2,875
21/01/2015;12;635;3,875
21/01/2015;13;661,6;4,175
21/01/2015;14;651,9;3,375
21/01/2015;15;598,3;2,525
21/01/2015;16;530,4;2,425
21/01/2015;17;507;2,05
21/01/2015;18;453,4;1,95
21/01/2015;19;318,1;1,75
21/01/2015;20;227,6;2,325
21/01/2015;21;190,1;2,375
21/01/2015;22;177,1;1,6
21/01/2015;23;161;1,3
22/01/2015;0;156,3;1,5
22/01/2015;1;155,3;1,125
22/01/2015;2;155,4;1,325
22/01/2015;3;155,1;1,9
22/01/2015;4;157,4;2,35
22/01/2015;5;186,9;2,75
22/01/2015;6;277,3;2,7
22/01/2015;7;346,1;3
22/01/2015;8;477,7;3,175
22/01/2015;9;572,9;3,525
22/01/2015;10;587,8;4,425
22/01/2015;11;592,1;5,025
22/01/2015;12;624;5,05
22/01/2015;13;621,4;5,625
22/01/2015;14;599,3;6,5
22/01/2015;15;565,1;6,85
22/01/2015;16;470,2;7,3
22/01/2015;17;463,6;6,45
22/01/2015;18;439,4;5,675
22/01/2015;19;313,2;5,3
22/01/2015;20;226,8;5,175
22/01/2015;21;182,7;5,025
22/01/2015;22;168,3;4,825
22/01/2015;23;158,2;4,65
23/01/2015;0;154,7;4,5
23/01/2015;1;152,3;4,5
23/01/2015;2;153,1;4,075
23/01/2015;3;152,6;3,85
23/01/2015;4;157,1;3,3
23/01/2015;5;177,6;2,2
23/01/2015;6;275;2,125
23/01/2015;7;337,1;2,825
23/01/2015;8;475,5;3
23/01/2015;9;548,6;5,075
23/01/2015;10;530,1;6,975
23/01/2015;11;557,8;8,075
23/01/2015;12;587,8;7,125
23/01/2015;13;601,3;9,075
23/01/2015;14;554,8;11,4
23/01/2015;15;513,6;12,1
23/01/2015;16;449,2;11,4
23/01/2015;17;437,9;9,85
23/01/2015;18;384,4;8,825
23/01/2015;19;270,3;9,05
23/01/2015;20;203,5;8,975
23/01/2015;21;171,3;7,95
23/01/2015;22;159,2;7,8
23/01/2015;23;150,9;7,6
24/01/2015;0;154,7;7,175
24/01/2015;1;153,6;5,425
24/01/2015;2;151,9;5,125
24/01/2015;3;151,7;5,2
24/01/2015;4;150,8;6,425
24/01/2015;5;160,3;5,775
24/01/2015;6;197,7;4,075
24/01/2015;7;225,8;2,85
24/01/2015;8;285,2;2,8
24/01/2015;9;282,9;5,525
24/01/2015;10;283,2;7,775
24/01/2015;11;288,5;8,3
24/01/2015;12;274,8;9,55
24/01/2015;13;234,4;10,375
24/01/2015;14;173,4;10,425
24/01/2015;15;159,6;10,35
24/01/2015;16;144,9;10,375
24/01/2015;17;149,1;10,325
24/01/2015;18;157,3;9,35
24/01/2015;19;156,7;8,825
24/01/2015;20;151,6;8,55
24/01/2015;21;154,3;8,4
24/01/2015;22;155,7;8,5
24/01/2015;23;156,4;8,25
25/01/2015;0;158,7;7,65
25/01/2015;1;159,4;7,6
25/01/2015;2;157,8;4,8
25/01/2015;3;158,2;4,65
25/01/2015;4;157,5;3,85
25/01/2015;5;157,8;3,325
25/01/2015;6;157,5;3,9
25/01/2015;7;160,2;4,1
25/01/2015;8;128,5;4,15
25/01/2015;9;118,1;5,95
25/01/2015;10;111,9;6,95
25/01/2015;11;112,9;7,75
25/01/2015;12;117;9,85
25/01/2015;13;118,9;10,55
25/01/2015;14;115;11,325
25/01/2015;15;112;11,95
25/01/2015;16;113,8;12,1
25/01/2015;17;128;10,525
25/01/2015;18;159;9,15
25/01/2015;19;156,7;8,275
25/01/2015;20;160;7,725
25/01/2015;21;157,9;7,15
25/01/2015;22;157,3;6,425
25/01/2015;23;155,7;5,825
26/01/2015;0;157;5,375
26/01/2015;1;156,6;5,325
26/01/2015;2;154,5;5,225
26/01/2015;3;155,1;5,275
26/01/2015;4;159,8;4,65
26/01/2015;5;203,7;3,5
26/01/2015;6;288,3;2,475
26/01/2015;7;334,9;2,625
26/01/2015;8;472;2,625
26/01/2015;9;549,2;4,1
26/01/2015;10;542,4;4,15
26/01/2015;11;579;4,5
26/01/2015;12;622,4;5,45
26/01/2015;13;638,8;6,4
26/01/2015;14;611,8;7,05
26/01/2015;15;554,8;7,025
26/01/2015;16;508,6;6,975
26/01/2015;17;494,1;6,575
26/01/2015;18;451,6;6,075
